IAA,IEG,IPS,IDA,IPP,IPV,IAN,INDE,Defasagem
0.0,9.0,7.52,6.9,7.708333333,8.116666667,5.0,6.816166667,-1
10.0,8.3,7.52,6.3,7.291666667,7.446666667,5.0,7.3807,-1
10.0,8.7,3.14,5.4,7.083333333,7.62,10.0,7.356533333,0
10.0,8.0,3.14,3.1,6.041666667,6.94,5.0,6.026366667,-1
7.9,8.1,3.14,8.1,8.28125,8.73,5.0,7.419925,-1
10.0,9.8,2.52,7.6,7.96875,8.673333333,5.0,7.763741667,-1
9.0,9.7,3.77,9.7,9.0625,9.286666667,5.0,8.410783333,-1
9.0,8.6,3.14,5.7,7.96875,8.673333333,5.0,7.095741667,-1
9.5,4.9,2.52,5.2,8.28125,8.226666667,5.0,6.185658333,-1
9.0,9.4,3.14,8.4,9.21875,9.23,10.0,8.532075,0
9.5,9.7,3.14,9.3,8.75,8.836666667,5.0,8.196533333,-1
7.4,7.7,3.77,6.2,8.59375,8.503333333,10.0,7.448841667,0
10.0,9.7,3.14,7.6,8.28125,8.616666667,5.0,7.815658333,-1
10.0,9.5,3.77,7.4,8.4375,8.56,5.0,7.81295,-1
9.0,8.6,3.77,5.7,8.28125,8.673333333,5.0,7.199991667,-1
9.5,9.9,7.52,6.4,7.65625,9.23,5.0,8.073825,-1
0.0,9.3,7.52,6.3,8.28125,8.84,10.0,7.468125,0
9.5,9.5,7.52,5.9,6.40625,7.89,5.0,7.490825,-1
0.0,9.2,7.52,7.8,8.28125,8.56,10.0,7.682125,0
8.5,9.8,7.52,8.6,9.375,8.84,5.0,8.4777,-1
8.5,9.6,7.52,7.0,8.4375,8.84,5.0,8.03395,-1
0.0,7.2,7.52,4.8,6.875,8.003333333,5.0,5.930166667,-2
7.5,9.8,7.52,7.9,8.4375,9.116666667,5.0,8.209283333,-1
